1463675516.26 , serbatoio , 71.78 , al_fondi , 37.5 , al_generico , 5.16 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.62 , tazza2 , 41.97 , vapore , 0.0 
1463675516.26 , serbatoio , 71.76 , al_fondi , 37.34 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.6 , tazza2 , 41.82 , vapore , 0.0 
1463675516.26 , serbatoio , 71.78 , al_fondi , 37.5 , al_generico , 5.16 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.61 , tazza2 , 41.96 , vapore , 0.0 
1463675516.26 , serbatoio , 71.76 , al_fondi , 37.34 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.6 , tazza2 , 41.82 , vapore , 0.0 
1463675516.26 , serbatoio , 71.75 , al_fondi , 37.18 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.61 , tazza2 , 41.95 , vapore , 0.0 
1463675516.27 , serbatoio , 71.76 , al_fondi , 37.34 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.12 , tazza1 , 70.63 , tazza2 , 41.81 , vapore , 0.0 
1463675516.27 , serbatoio , 71.75 , al_fondi , 37.18 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.61 , tazza2 , 41.67 , vapore , 0.0 
1463675516.27 , serbatoio , 71.76 , al_fondi , 37.33 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.62 , tazza2 , 41.8 , vapore , 0.0 
1463675516.27 , serbatoio , 71.75 , al_fondi , 37.18 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.61 , tazza2 , 41.66 , vapore , 0.0 
1463675516.27 , serbatoio , 71.76 , al_fondi , 37.33 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.62 , tazza2 , 41.8 , vapore , 0.0 
1463675516.27 , serbatoio , 71.78 , al_fondi , 37.18 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.61 , tazza2 , 41.66 , vapore , 0.0 
1463675516.28 , serbatoio , 71.76 , al_fondi , 37.02 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.62 , tazza2 , 41.79 , vapore , 0.0 
1463675516.28 , serbatoio , 71.78 , al_fondi , 37.17 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.12 , tazza1 , 70.63 , tazza2 , 41.93 , vapore , 0.0 
1463675516.28 , serbatoio , 71.77 , al_fondi , 37.02 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.62 , tazza2 , 41.79 , vapore , 0.0 
1463675516.28 , serbatoio , 71.78 , al_fondi , 37.17 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.12 , tazza1 , 70.63 , tazza2 , 41.92 , vapore , 0.0 
1463675516.28 , serbatoio , 71.77 , al_fondi , 37.02 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.62 , tazza2 , 41.78 , vapore , 0.0 
1463675516.28 , serbatoio , 71.78 , al_fondi , 37.17 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.12 , tazza1 , 70.63 , tazza2 , 41.91 , vapore , 0.0 
1463675516.29 , serbatoio , 71.79 , al_fondi , 37.32 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.62 , tazza2 , 41.77 , vapore , 0.0 
1463675516.29 , serbatoio , 71.78 , al_fondi , 37.17 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.63 , tazza2 , 41.9 , vapore , 0.0 
1463675516.29 , serbatoio , 71.79 , al_fondi , 37.31 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.64 , tazza2 , 42.04 , vapore , 0.0 
1463675516.29 , serbatoio , 71.78 , al_fondi , 37.17 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.63 , tazza2 , 41.9 , vapore , 0.0 
1463675516.29 , serbatoio , 71.79 , al_fondi , 37.31 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.64 , tazza2 , 42.03 , vapore , 0.0 
